Feature,Importance,Importance_%
velocity_mean_5,0.29715438913095915,29.715438913095916
velocity,0.23870899717019936,23.870899717019935
sat_ratio_mean_5,0.08279537095937707,8.279537095937707
heading_abs_diff,0.08094514062529796,8.094514062529797
sat_count_mean_5,0.07230915115890625,7.2309151158906255
sat_ratio,0.05620584690379722,5.620584690379722
sat_count,0.04977669293314238,4.977669293314238
sat_discrepancy,0.04818570375860419,4.818570375860419
velocity_std_5,0.02909392580055675,2.909392580055675
sat_locks,0.021255498647203427,2.125549864720343
sat_ratio_std_5,0.009506191902606823,0.9506191902606823
velocity_diff,0.007306819365604497,0.7306819365604498
sat_count_std_5,0.006756271643744772,0.6756271643744772
